cena;pamiec;PPI;lcd
449;16;295;1
499;16;295;1
549;32;271;1
549;32;271;1
499;32;282;1
499;32;295;1
499;32;295;1
849;64;268;0
999;64;269;1
799;64;271;1
749;64;279;1
548;64;282;1
2999;64;326;0
3599;64;326;1
1099;64;395;1
1099;64;395;1
1099;64;395;1
999;64;397;1
1599;64;402;0
1599;64;408;1
899;64;409;1
899;64;409;1
999;64;409;1
1299;64;409;1
2199;64;418;1
999;64;443;0
3499;64;458;0
3599;64;458;0
5099;64;458;1
5599;64;458;0
3199;128;326;0
3849;128;326;1
2649;128;377;0
3499;128;386;0
1399;128;391;1
1999;128;393;0
2799;128;393;0
1199;128;395;1
2499;128;398;0
2499;128;398;0
1699;128;402;0
1699;128;402;1
1899;128;402;1
2499;128;402;0
3299;128;402;0
3749;128;402;0
1499;128;403;0
1699;128;405;0
999;128;409;1
1499;128;409;1
1499;128;412;1
1299;128;415;1
2699;128;415;0
2999;128;422;0
1149;128;435;1
4499;128;495;0
5999;128;507;0
4199;128;513;0
2899;128;515;0
4399;128;524;0
3299;128;551;0
3949;128;566;0
4299;256;326;1
4399;256;386;0
2699;256;398;0
2699;256;398;0
3999;256;400;0
2699;256;409;0
4299;256;441;0
3799;256;458;0
3999;256;458;0
5949;256;458;1
6399;256;458;0
4899;256;513;0
3299;256;515;0
3999;512;458;0
4299;512;458;0
6899;512;458;1
7399;512;458;0
